o_n,o_d,a_n,a_d,period
27287,21922,19783,15062,43373
28477,19374,26329,9803,53109
28956,3257,19769,18162,337222
68143,43603,94943,48148,223623
15801,26140,9027,16480,15418
67415,28011,26577,11672,92055
3272,1863,97233,73441,299756
21717,19415,60969,1573,69957
44310,59363,45197,90722,101454
11317,2198,12985,71294,433933
44540,11503,6952,50609,222878
59821,33718,46371,47264,166123
28997,95292,13778,4671,5614
40763,39195,93799,26744,125365
6190,829,4861,13576,137666
22949,3855,41519,28686,417934
53468,94403,6136,34165,22826
24534,68687,13212,80725,33553
52834,14611,60647,75183,491167
39751,25797,35983,10407,71483
4498,2953,7522,71495,120358
3924,26165,95285,60788,23407
50326,82837,20369,58229,47750
2857,18620,22121,21143,6639
2430,11741,11140,13597,5120
85069,99616,11621,28746,34472
6218,5747,80592,65693,158273
2565,5807,24723,19912,19716
42491,23075,27823,31568,109365
55153,73538,9056,10865,14940
42139,7626,21029,98965,663051
45124,66563,12695,7991,14024
21949,53836,31001,90360,49479
85303,82143,38727,32005,73453
24907,18197,42724,19849,85647
9187,6415,51617,46263,140175
892,13139,10591,64278,5083
32099,68404,9904,22503,15207
15434,14871,46598,53259,103638
13600,44019,67102,40221,33158
25890,23663,71934,77993,164037
3555,3712,55339,7132,59829
8641,3276,2329,2628,13075
2476,2033,37677,84952,149350
875,486,59044,54749,204874
3845,1982,27323,67029,183039
80995,77593,82787,39731,127889
73021,43392,29500,28827,98154
51599,59409,2169,6461,7495
70753,87357,15065,18181,26927
27989,53078,79060,83143,85532
9623,9133,4909,6076,11574
42288,21551,28947,82807,219287
99507,682,1247,524,258398
6614,601,92749,73009,1824165
3541,27469,94915,72179,21540
35461,23969,30836,19587,74599
78373,6710,72519,26645,1158239
42667,36242,46018,28587,87831
1451,81712,40855,1504,752
43046,87241,3567,6017,4729
68161,42810,98719,19339,187969
12475,63317,3855,41374,8911
3303,44432,5271,1136,476
24809,15785,32237,43068,118356
4364,3425,16043,15762,40525
22083,14755,27878,11913,59553
480,73,71291,22734,618246
2471,1910,47301,40831,114018
9160,4831,43424,62827,201461
98418,30709,32539,2563,112497
73345,17856,24574,19865,182537
17023,10061,1201,61654,106350
83675,67784,2959,17678,25475
20097,36878,939,6635,4127
581,8508,23720,94539,8075
16064,5587,25020,15733,117175
19067,33449,91772,15865,61356
26748,27353,3739,42836,45545
70854,83737,57,7396,6307
35051,58799,13253,6217,11607
11587,28116,10381,33692,18163
8787,28208,51973,25195,24038
73914,92663,13291,32752,36727
69138,44179,49875,43258,145748
31624,16177,3531,94627,191886
36917,29179,31401,59498,115005
2713,19976,21,659,92
40674,34225,19262,32819,61895
71129,64742,19624,32931,57739
69020,463,81253,88294,25274588
38935,20739,24537,15679,75501
2798,1503,11614,14205,48065
91599,72785,9976,19157,36663
36512,1795,3161,432,73085
39881,41473,6510,18293,23851
24059,45280,17798,18883,19490
19644,44347,41910,31199,32384
9433,5697,32343,30910,104734
53501,68622,51401,26697,60889
70731,45796,5756,12513,28217
459,649,37733,8734,32864
31370,20361,45889,32631,120975
29491,78371,4765,1076,2198
3813,2789,3417,3385,9299
2984,2013,73321,54818,189949
81763,424,17284,3063,3923660
13660,18709,8406,97955,77657
11307,9862,31384,3383,39861
3776,41399,21659,94676,10611
94099,47902,37035,34612,140744
43768,49065,8315,60736,61597
47040,25477,25098,19387,82136
10425,72614,37568,8925,6675
6607,4234,91205,18286,170857
36113,23330,64353,53177,181927
1552,4167,64079,34677,36782
57903,66227,90668,74781,144654
2086,1433,12567,17347,43545
40252,20685,2126,2481,8965
55518,10139,50826,72251,673931
571,344,33977,6418,67051
2061,2060,24359,2099,26471
24647,14360,32563,17916,86640
12421,2108,13426,26755,236759
39077,89243,7333,914,3611
44898,14473,38873,29521,212171
31791,1858,33464,81379,1965002
7489,4995,22093,7465,44317
71665,71216,98948,33169,132950
34279,70251,70325,2278,35427
39495,946,2719,6018,364765
42649,39867,27537,18763,49531
30831,19331,31517,45901,123474
37333,22252,15361,25387,68364
36587,41728,7629,473,7104
96215,11122,2225,758,25806
85969,48120,49859,31890,146049
22999,13403,20567,86608,183908
7673,4083,5375,81778,163782
54987,71521,22977,20537,33455
3961,8875,75293,5427,36027
63320,36807,76377,84512,276782
46448,36119,14521,9528,30926
59071,37990,69880,37353,166738
83823,45965,38771,85415,226469
35392,17567,16403,22631,78641
98237,96231,8357,66122,76032
2086,647,15148,19729,112447
80921,13381,10532,94171,633186
14222,66737,3583,3768,1566
22820,17331,20394,59927,105760
