o_n,o_d,a_n,a_d,period
2367,14935,43721,10912,8659
2085,3754,27769,40753,38058
11099,5739,1414,8157,18510
45863,7347,20305,27081,295803
31318,16267,51313,81522,255741
86910,48493,33595,93037,226952
11127,6256,13804,21975,63637
15623,9000,60476,88397,258427
40321,31951,63473,96893,202376
10149,8999,3205,3092,7102
32565,16862,47343,23290,136411
68317,21081,11894,1169,42333
521,367,34882,36281,101025
24409,19169,64234,21989,109792
1077,551,33579,70925,204266
3716,50633,1163,6454,559
77437,48610,42673,18241,97038
26253,11018,9085,6171,36351
43573,83646,1989,23326,13188
80184,76285,24202,14367,40540
25870,15133,80830,59697,240232
5043,3556,89731,51842,200774
29355,53374,38427,91972,71718
96086,51113,1301,2924,7942
1249,2363,1163,7279,4462
7558,4413,94377,39092,228588
43048,9733,87739,52620,620793
537,36239,863,4846,84
19301,36456,86635,55772,75395
19639,86730,41461,80823,27690
2427,2311,55203,70655,132175
1179,556,24913,18723,92531
45589,34761,70753,26340,127337
5237,48880,55789,24933,8649
12712,333,47423,13882,2340267
37017,42565,80525,81813,141179
9907,32852,89408,64731,46483
67437,76678,21094,14635,31423
12223,10528,15445,39206,63450
491,250,83127,75956,312439
35051,40437,77511,27928,91395
14653,7780,73832,74781,279900
7223,3800,38276,75783,216802
1367,1000,41217,88498,177320
65643,37675,8659,27249,62565
7535,4096,11781,56626,125842
28285,71571,6055,37832,17344
2995,23512,61253,31887,11864
30588,1955,41174,18929,940373
734,537,13123,1432,19895
14619,37661,2347,38767,15960
13134,33919,17179,6969,9350
84781,59493,15471,1666,24422
55048,42305,53480,8299,80388
39541,54646,37297,43129,58195
20911,15949,84225,51002,177298
21768,17015,43441,8327,66229
92983,58092,85045,93886,286400
70934,89613,2496,33227,28277
41755,86304,14717,14459,14116
13897,24598,25919,60383,48758
877,649,57667,40317,132406
14199,8492,23908,62029,143691
49743,17081,84485,96864,528121
38274,42667,85624,87349,155164
13015,7313,64340,19903,149928
38611,22119,46511,24995,124821
46109,40123,29659,84171,130812
12019,32653,87439,57789,53456
34659,22652,98812,29625,196517
56797,11746,2837,2925,27862
52275,68753,90591,78167,128312
3248,2447,7763,20165,37070
50887,44159,27781,42391,80863
49036,46003,46371,93895,149514
72994,61423,40969,33316,88279
37813,19185,1588,187,3498
7246,4291,40047,44453,142691
99893,76443,24322,6895,40794
23638,21851,16173,45538,66758
28383,26104,2225,1828,4407
1399,834,65043,85511,252548
58118,76661,22227,78569,76415
12468,18731,37619,63731,67462
2067,1037,40463,44203,168760
51640,807,22635,97196,7667996
91016,29913,17971,20478,116989
48479,36473,1773,1081,3793
1023,25634,275,1376,65
83976,71569,93027,18418,130764
20237,75826,7440,2837,2743
5006,2537,34039,99605,263706
25352,77761,18479,6843,8255
91789,14351,95057,5781,644960
8911,3506,7491,72319,202849
29322,16103,7724,6631,26139
35963,20857,64252,57521,209969
40208,38677,3082,84615,91168
83633,62267,31288,43527,100487
14665,25693,4795,26778,18021
26923,23302,9679,2805,14424
3043,2664,18265,24706,49084
27579,20980,4294,4265,11251
17665,17847,96692,17085,112616
2816,37415,17467,94110,8398
48232,66149,23960,8983,24020
96701,23406,16295,39138,229020
20498,11163,30067,44019,136040
42682,46645,88742,18639,98258
92621,44568,87687,99704,389435
23511,39437,26581,3886,18163
90474,7961,5259,6550,134205
16032,13775,13877,24782,44993
76389,39416,55469,2010,111396
2993,1799,34442,44261,130939
72473,54842,23702,36305,79298
40811,32579,42955,58214,126732
18070,15143,20540,48627,82537
3185,14204,64044,99463,36663
34072,6023,55383,32662,498069
75877,49367,48200,41091,137240
9770,48319,65417,88948,31213
5974,4457,83033,20749,139106
88364,55997,45853,14534,95291
25689,39700,28214,83743,72445
19349,9373,47047,52298,205081
49602,41945,1769,2814,5419
97725,13237,33947,7567,306487
34495,21046,28983,21026,81966
47808,28561,37720,30883,114834
2645,1087,16340,79473,233142
10441,8611,1368,1993,4075
17555,11081,61223,34782,152096
85338,36337,1435,1741,7459
68327,57692,31622,30145,73153
45389,57940,26041,52972,61897
