o_n,o_d,a_n,a_d,period
725,21829,6295,7093,445
39219,64279,160,31067,19053
39878,10961,38616,31561,255316
43926,63979,46607,2749,33886
23845,17582,75884,91899,227550
89646,77267,80482,57407,159981
76366,71849,12663,43264,59443
19366,73321,23518,25097,12840
33454,20623,22905,16816,64434
1898,1225,41171,13613,84881
14429,57101,68809,42005,28002
64725,34688,40104,34175,138598
4414,3195,85587,35728,167601
54961,41537,30931,11926,56708
66503,40440,29762,15735,74819
21019,88183,96323,94700,45532
7345,7012,2773,7278,10528
23723,13287,14615,99837,204346
17012,8533,75617,82835,315901
62129,59915,73458,44977,122812
16172,11649,554,1369,2670
52192,32567,33092,56443,143489
9753,9755,1356,1181,2536
12533,12371,90821,80020,173078
87518,4185,79462,60401,2924858
49519,31343,1069,31,1737
4321,2571,7949,5710,22956
35637,33749,55567,66804,129217
17593,8533,82274,15631,201857
20857,19959,45495,52547,102453
3407,1682,31907,88968,244840
2697,2324,13485,26336,46212
3232,1885,5323,72475,133391
56504,64003,4597,36455,36242
67579,36799,4663,75079,146441
8011,6614,77386,72233,181221
73549,8066,85671,49883,1236036
73367,67770,46557,43966,98000
39853,20140,73799,27640,200727
29978,26045,70592,78805,171957
61358,45137,71387,57300,174934
19627,15627,1728,2449,5246
32634,5183,13844,14051,175637
41517,77174,83359,4580,47308
39873,14530,10170,90367,275892
70002,38489,30207,769,56338
34793,23831,93695,13173,156026
10537,6712,56663,59762,182772
26014,24065,43805,20146,69130
73799,37715,95600,86071,355485
41922,73261,14341,1272,8934
34887,13243,85220,79517,433979
69614,42927,5324,2193,12190
13439,42626,38127,1679,12550
92813,70465,31685,24238,73659
46204,30811,33005,90212,184776
51692,34099,16610,46009,94926
93101,7388,44409,88730,1677771
53170,42671,9947,17056,33647
15587,48149,38312,98039,44140
16560,10813,30860,78969,168202
46445,64033,97402,85047,132336
86217,48373,11175,31948,76860
53558,27893,2199,5264,14330
8656,52401,49515,88249,22757
61879,82098,7220,3663,8202
15733,10935,4960,8979,20055
52737,46361,6949,45494,59655
59554,95839,27911,108,17411
3325,6761,42205,38966,39920
18475,16567,1142,3565,5249
30344,16459,19357,8024,50480
24033,81205,3967,768,1402
33,19,35624,62007,169570
49778,31757,35981,15052,79992
3429,2005,15677,10427,44644
18784,22173,96485,72524,143177
127,498,72043,87426,40668
7548,7877,2174,8185,9927
16778,87339,30003,5597,6839
60321,70448,10531,18306,24692
68119,48640,30949,28798,83674
61593,23818,15127,21992,95989
72700,41111,21431,22307,77346
2447,4853,71201,9480,40682
6170,47057,78498,44171,16084
36054,21065,12461,81387,160626
76363,35505,24662,13225,81486
46187,94390,10432,56911,32952
2295,31177,82372,18065,7393
15158,2707,24232,65801,504145
2413,6146,1485,5719,2829
79435,28763,19110,8521,76309
24391,4129,33441,72977,628637
33135,3593,7208,45705,487969
10842,8903,1286,36577,46110
46983,31118,34758,23675,88224
44274,63059,43696,6337,35129
40222,26109,34494,73927,167027
5471,2835,79399,47444,244782
23275,21347,83784,80219,178816
29583,23146,7681,48443,71733
40731,21755,4987,76122,151857
24609,12862,18199,9384,52775
70193,45421,81465,7157,136955
87587,76888,3571,6730,11734
18229,99458,46566,99959,26855
46707,56666,2351,2384,3903
32249,43443,93538,57205,111900
26234,51247,21531,15443,18927
1710,1339,59302,92221,193505
45251,9076,49791,13772,316912
15811,21192,97949,72946,127502
30226,68749,12687,81520,41418
83649,58097,57989,25565,120302
15437,43872,34072,7859,14754
939,761,16675,77909,116708
18971,38864,26496,23461,24386
711,461,44443,95587,215968
1,13341,41816,54051,8
34128,31517,7582,6459,15205
72774,45625,35467,2768,60987
31306,62463,95243,76920,86287
96421,40257,33361,49203,197752
11325,26033,12636,6941,8516
54739,93827,99844,84613,107613
46831,26721,6488,87345,164451
78,353,47080,40181,19281
33528,27079,45236,23245,84790
17387,10685,747,88621,145423
3659,2300,7213,55155,99219
15427,12012,149,46,251
52679,46171,34372,27217,70270
10251,25003,46729,36510,34127
82727,64299,58448,82129,180867
49207,71967,67524,59389,86776
79460,15087,44699,95935,740690
80820,28609,87277,20138,303446
55336,91673,99297,802,60423
13026,9673,18411,12356,41432
8503,20488,54541,36142,37635
74182,37813,11161,28643,78088
31195,22018,68286,56605,176945
45893,41747,25785,8614,37815
50887,34980,2092,2347,6458
77497,42951,15461,25167,73306
42055,86519,5299,26974,15687
95739,79034,46487,8892,67084
671,529,95441,10329,134162
